狀態,週次,題號,UVA ID,ZJ ID,總字數,敘述字數,輸入字數,輸出字數,缺失欄位,ZJ連結,UVA連結
◐ 部分填充,W06,10071,10071,,337,118,167,52,,,
◐ 部分填充,W07,10193,10193,,418,326,7,85,輸入,,
◐ 部分填充,W07,10222,10222,,173,109,51,13,輸出,,
◐ 部分填充,W09,10226,10226,,272,149,76,47,輸出,,
◐ 部分填充,W09,10235,10235,,472,319,91,62,,,
◐ 部分填充,W09,10268,10268,,484,298,109,77,,,
◐ 部分填充,W11,10922,10922,,145,55,63,27,輸出,,
◐ 部分填充,W12,11150,11150,,499,283,182,34,輸出,,
◐ 部分填充,W12,11332,11332,,345,141,145,59,,,
◐ 部分填充,W13,11349,11349,,368,76,244,48,輸出,,
◐ 部分填充,W13,11461,11461,,109,12,1,96,"敘述,輸入",,
◐ 部分填充,W13,12019,12019,,146,20,21,105,"敘述,輸入",,
✅ 完整,W02,100,100,c039,,,,,,https://zerojudge.tw/ShowProblem?problemid=c039,https://uva.onlinejudge.org/external/100.pdf
✅ 完整,W02,118,118,c082,,,,,,https://zerojudge.tw/ShowProblem?problemid=c082,https://uva.onlinejudge.org/external/118.pdf
✅ 完整,W02,272,272,c007,,,,,,https://zerojudge.tw/ShowProblem?problemid=c007,https://uva.onlinejudge.org/external/272.pdf
✅ 完整,W02,299,299,e561,,,,,,https://zerojudge.tw/ShowProblem?problemid=e561,https://uva.onlinejudge.org/external/299.pdf
✅ 完整,W03,948,948,c095,,,,,,https://zerojudge.tw/ShowProblem?problemid=c095,https://uva.onlinejudge.org/external/948.pdf
✅ 完整,W06,10062,10062,a055,,,,,,https://zerojudge.tw/ShowProblem?problemid=a055,https://uva.onlinejudge.org/external/10062.pdf
✅ 完整,W06,10093,10093,a086,,,,,,https://zerojudge.tw/ShowProblem?problemid=a086,https://uva.onlinejudge.org/external/10093.pdf
✅ 完整,W06,10101,10101,a094,,,,,,https://zerojudge.tw/ShowProblem?problemid=a094,https://uva.onlinejudge.org/external/10101.pdf
✅ 完整,W07,10189,10189,a182,,,,,,https://zerojudge.tw/ShowProblem?problemid=a182,https://uva.onlinejudge.org/external/10189.pdf
✅ 完整,W07,10190,10190,a183,,,,,,https://zerojudge.tw/ShowProblem?problemid=a183,https://uva.onlinejudge.org/external/10190.pdf
✅ 完整,W09,10242,10242,a235,,,,,,https://zerojudge.tw/ShowProblem?problemid=a235,https://uva.onlinejudge.org/external/10242.pdf
✅ 完整,W09,10252,10252,a245,,,,,,https://zerojudge.tw/ShowProblem?problemid=a245,https://uva.onlinejudge.org/external/10252.pdf
✅ 完整,W12,11063,11063,b056,,,,,,https://zerojudge.tw/ShowProblem?problemid=b056,https://uva.onlinejudge.org/external/11063.pdf
✅ 完整,W12,11321,11321,b314,,,,,,https://zerojudge.tw/ShowProblem?problemid=b314,https://uva.onlinejudge.org/external/11321.pdf
